RespondentID,knowledge,confidence,motivation,understanding,recognize_quantity,respond_needs,aware_cog_domains,support_capacity,relevant_own_learning,session_valuable
124761,4,3,3,3,3,3,3,I am able to place students on the continuum and decide what their next steps are for learning.,Subitizing strategies have come in handy teaching number sense to my kindergartens,Agree
124780,4,NA,4,3,3,3,4,NA,math learning labels (ie. cardinalit and subitizing),Agree
124798,3,3,3,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,NA,NA,Neither Agree or Disagree
124817,4,4,4,4,4,4,4,NA,NA,Agree
124853,3,3,4,4,3,2,1 - None,n/a,That there are so many different ways to represent thinking and we can keep moving student learning along a continuum. That and we have great resources in the school that we aren't using!,Agree
124872,5 - Significantly,5 - Significantly,5 - Significantly,4,4,3,NA,NA,Increasing my confidence in the subject matter,Strongly Agree
124890,3,4,5 - Significantly,4,4,3,NA,NA,All of the learning has just reinforced the importance of continually looking at your own practices and how you can change your teaching to meet the needs of your students.  Happy that we are focusing again o the importance of building a solid number sense foundation.,Agree
124909,4,5 - Significantly,5 - Significantly,5 - A Great Deal,4,4,NA,NA,focusing on misconceptions as the direction for instruction,Strongly Agree
124927,3,4,3,4,3,3,NA,NA,"The need to take way more time with Number Sense and Numeration than with the other strands. Also, seeing how Quantity Rel'ps connects to every other strand.",Neither Agree or Disagree
124945,4,3,5 - Significantly,4,4,4,NA,NA,#NAME?,Agree
125037,5 - Significantly,4,5 - Significantly,4,3,3,NA,NA,Has helped highlight resources and find things to enhance the big ideas that need to be taught.  Has changed my thinking and already changed teaching in my own classroom.,Strongly Agree
125056,3,3,4,5 - A Great Deal,4,4,NA,NA,recognizing misconceptions in my students thinking,Agree
125074,4,4,4,4,3,3,3,NA,"When we stop and take the time to listen to student thinking, we learn so much about math, and so can our students.",Agree
125093,4,4,5 - Significantly,5 - A Great Deal,5 - A Great Deal,4,NA,NA,"knowledge of resources that are supposed to be in our schools to direct teachers to when they have questions, or are looking for ideas (me included)",Strongly Agree
125111,5 - Significantly,5 - Significantly,5 - Significantly,4,4,4,4,NA,I have changed my thinking on evaluating and assessing. I am using a variety of ways to track data and feel very confident in my ability to evaluate.,Strongly Agree
125129,4,4,4,3,3,3,3,NA,Use of manipulatives to build and reinforce understanding.,Agree
125148,3,3,4,4,4,4,NA,NA,Practical application ideas and where to find more information.,Strongly Agree
125166,3,4,4,4,3,4,4,NA,"Learning the new terminology of quantity relationships (subitize, magnitude, conservation)",Agree
125185,5 - Significantly,4,4,4,4,4,NA,NA,Practical Activities and resources.,Neither Agree or Disagree
125203,5 - Significantly,4,4,4,4,4,2,NA,NA,Agree
125221,4,4,4,4,4,4,NA,NA,"Open ended questions, math talks, guided math sessions, hands-on experiences",Strongly Agree
125240,3,3,5 - Significantly,5 - A Great Deal,4,4,NA,NA,I have enjoyed the return to practical math ideas and opportunities for discussions with colleagues.,Strongly Agree
125258,4,4,4,4,4,4,NA,NA,Learning multiple ways to use manipulatives.,Strongly Agree
125277,4,4,4,4,4,5 - A Great Deal,4,"It is important to recognize that students come with baggage and need to be in the right head space to ""do"" math",The hands on tasks and resources have been particularly helpful,Agree
125295,2,3,3,4,3,4,NA,NA,the visual of each quantity of relationships gallery walk that we did in session 2,Disagree
125313,5 - Significantly,4,5 - Significantly,4,4,4,NA,NA,to look at quantity relationships as the main focus for developing math understanding throughout all strands,Strongly Agree
125332,4,4,5 - Significantly,4,4,4,NA,NA,Being able to share/meet with other FI teachers and sharing experiences.  Getting FI resources.,Strongly Agree
125350,4,4,5 - Significantly,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,NA,Helped me understand what to look for and listen,Strongly Agree
125369,5 - Significantly,5 - Significantly,5 - Significantly,5 - A Great Deal,4,4,NA,NA,The resources that are available to support my learning after I leave the sessions. So much to do and continue to learn!,Strongly Agree
125387,4,5 - Significantly,5 - Significantly,4,4,4,4,NA,Participating in the activities,Agree
125405,3,3,4,4,4,NA,NA,NA,it has helped me to support my students more who are on modified math programs,Agree
125424,3,3,4,4,3,3,3,NA,The concept / importance of the 13 rules,Agree
125442,4,4,5 - Significantly,4,3,3,NA,NA,connecting with lead teachers across divisions,Strongly Agree
125461,4,3,4,5 - A Great Deal,4,4,3,NA,The opportunity to discuss and share best practices with other teachers outside my school.,Agree
125479,5 - Significantly,5 - Significantly,5 - Significantly,4,4,4,NA,N/A,Everything! It has been so beneficial in guiding me as a more effective math leader. I'm very grateful for the opportunity!,Agree
125497,4,4,4,3,3,3,NA,NA,The way in which quantity relationships builds over time and across grades.,Agree
125516,4,4,4,3,3,3,NA,NA,The use of number talks and other activities to increase student use of math vocabulary.,Agree
125534,3,NA,4,4,4,NA,NA,NA,the bookmark- great tool for explaining the key concepts,Agree
125553,5 - Significantly,4,5 - Significantly,4,4,4,4,NA,NA,Strongly Agree
125571,3,4,4,4,4,3,NA,NA,discussion of Number Talks resource,Strongly Agree
125589,4,3,5 - Significantly,4,4,4,3,NA,Co planning units,Strongly Agree
125608,3,4,4,4,5 - A Great Deal,5 - A Great Deal,4,This is the premise of all my teaching. It guides differentiated instruction.,I now implement open ended math tasks.,Agree
125626,3,4,4,4,3,3,NA,NA,"Deveoping my cpmpete6in order to recognize,  respond and develop this in my students",Neither Agree or Disagree
125645,2,5 - Significantly,4,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,Balancing cognitive loads is very challenging. We need to think about this while planning.,confirmed my own thoughts and beliefs as a teacher and tons of ideas to share with teachers at my  school,Agree
125663,4,5 - Significantly,4,4,5 - A Great Deal,5 - A Great Deal,4,NA,NA,Strongly Agree
125681,2,2,4,4,2,3,NA,NA,NA,Disagree
125700,4,3,4,3,3,3,3,NA,Attending RMS has flowed with other trainings I have attended as well as Math part 2 AQ course. My thinking around how to teach and assess and evaluate students has changed completely from the start of this until now.,Strongly Agree
125718,3,3,5 - Significantly,4,3,3,NA,NA,"Getting more task activities to use with students, with a recognition of the key understandings/quantity relationship concepts that are addressed.",Agree
125737,5 - Significantly,4,5 - Significantly,4,3,3,3,Increasing my use of manipulative and visuals to allow my students a variety of opportunities to show and share thinking,NA,Strongly Agree
125755,4,4,4,3,4,4,4,NA,"Diving 'deep' into quantity relationships.    What I appreciated today:  1) handouts  2) opportunity to sit with teachers across divisions   3) opportunity to dialogue with you (Beth, Tara, Michelle)",Agree
125773,3,4,4,4,4,3,2,NA,planning by using a variety of resources,Strongly Agree
125792,5 - Significantly,5 - Significantly,5 - Significantly,4,4,4,3,NA,"Tasks, examples of student tasks and learning",Agree
125810,4,4,4,4,3,3,NA,NA,"To give more WAIT time and to LISTEN more, rather than ORALLY LEAD.",Agree
125829,4,4,5 - Significantly,4,4,4,2,NA,NA,Strongly Agree
125847,5 - Significantly,3,4,4,4,4,4,NA,All you have presented has given me a new perspective when teaching math. Opened up new possibilities. Thank you Nya:weh for sharing your knowledge with us and inviting us.  Hopefully we can continue this relationship.,Strongly Agree
125865,4,4,4,3,3,3,2,NA,Application of components of bookmark (e.g. planning),Agree
125884,3,3,4,3,3,2,2,NA,NA,Neither Agree or Disagree
125902,3,5 - Significantly,5 - Significantly,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,It provides a well laid out continuum reference to help develop student understanding from where they are at and assists in moving them where they need to be.,I really enjoyed the sessions at the school where we were able to plan and then observe in the classroom(s).,Strongly Agree
125921,4,4,5 - Significantly,4,4,4,3,By noticing their needs,NA,Agree
125939,5 - Significantly,4,5 - Significantly,4,4,4,4,Helped me understand and are more aware of different processes and thinking of the students.,The learning and talking between colleagues as well as the different actitvies we can take and use,Strongly Agree
125957,1 - Not at All,4,2,4,4,4,3,NA,NA,Disagree
125976,5 - Significantly,5 - Significantly,5 - Significantly,4,3,3,3,NA,"The CILM experience has been invaluable - having the opportunity to work as a team to plan, implement, assess, and reflect upon student learning   Next year, it would be beneficial to spend more time learning about how to develop conceptual understanding in students with special needs who are a part of the regular classroom program - how is it possible to reach ALL of our kids in the limited time we have with them.",Strongly Agree
125994,3,3,4,3,3,3,3,NA,NA,Neither Agree or Disagree
126013,1 - Not at All,1 - Not at All,1 - Not at All,5 - A Great Deal,4,4,3,Understanding the role of various cognitive domains helps to understand why students are advancing in mathematical thinking and better address this.,The in school sessions were useful but the sessions held at JB were mostly irrelevant and a waste of time. No sincere attempt to understand and address what teachers need and respond. A pre-arranged program with little or no differentiation. Consultants looked like they were being forced to present a program they didn't believe in. Strategic leadership was significantly lacking. Whoever was in charge needs to be given another role.,Strongly Disagree
126031,5 - Significantly,5 - Significantly,5 - Significantly,5 - A Great Deal,4,4,4,NA,NA,Agree
126049,3,3,4,3,3,3,3,NA,"Collaborating with other teachers, coaches, and Ministry leads to develop lessons to address quantity relationships and being able to look at the misconceptions and where students are on the continuum",Agree
126068,4,4,4,4,3,3,3,NA,NA,Agree
126086,2,2,2,4,4,4,4,NA,NA,Disagree
126105,4,4,4,3,3,3,3,NA,NA,Agree
126123,3,4,4,4,4,4,3,NA,NA,Strongly Agree
126141,4,4,5 - Significantly,4,3,3,4,NA,NA,Strongly Agree
126160,4,4,4,4,4,4,4,NA,NA,Agree
126178,5 - Significantly,4,5 - Significantly,3,3,3,4,NA,Part Part Whole decomposition of numbers.,Strongly Agree
126197,4,4,4,4,4,4,4,NA,NA,Neither Agree or Disagree
126215,3,4,3,3,3,3,2,NA,NA,Neither Agree or Disagree
126233,2,2,3,4,4,3,3,NA,How to use the manipulatives in many different ways.  Helps to build flexibility and find connections.,Agree
126252,2,3,3,4,3,4,NA,NA,NA,Disagree
126270,5 - Significantly,4,5 - Significantly,4,4,4,NA,NA,NA,Strongly Agree
126289,4,4,5 - Significantly,4,4,4,NA,NA,NA,Strongly Agree
126307,4,4,5 - Significantly,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,NA,NA,Strongly Agree
126325,5 - Significantly,5 - Significantly,5 - Significantly,5 - A Great Deal,4,4,NA,NA,NA,Strongly Agree
126344,4,5 - Significantly,5 - Significantly,4,4,4,4,NA,NA,Agree
126362,3,3,4,4,4,NA,NA,NA,NA,Agree
126381,3,3,4,4,3,3,3,NA,NA,Agree
126399,4,4,5 - Significantly,4,3,3,NA,NA,NA,Strongly Agree
126417,4,3,4,5 - A Great Deal,4,4,3,NA,NA,Agree
126436,5 - Significantly,5 - Significantly,5 - Significantly,4,4,4,NA,N/A,NA,Agree
126454,4,4,4,3,3,3,NA,NA,NA,Agree
126473,4,4,4,3,3,3,NA,NA,NA,Agree
126491,3,NA,4,4,4,NA,NA,NA,NA,Agree
126509,5 - Significantly,4,5 - Significantly,4,4,4,4,NA,NA,Strongly Agree
126528,4,4,4,4,4,4,4,NA,Number talks,Agree
126546,5 - Significantly,4,5 - Significantly,3,3,3,4,NA,Part Part Whole decomposition of numbers.,Strongly Agree
126565,4,4,4,4,4,4,4,NA,NA,Neither Agree or Disagree
126583,3,4,3,3,3,3,2,NA,NA,Neither Agree or Disagree
126601,2,2,3,4,4,3,3,NA,How to use the manipulatives in many different ways.  Helps to build flexibility and find connections.,Agree
126620,5 - Significantly,4,5 - Significantly,5 - A Great Deal,4,4,5 - A Great Deal,It gave me the opportunity to assess the students where they are at and support their learning in the continuum.,Using the manipulatives strategically and at appropriate time to deepen students' understanding.,Strongly Agree
126638,3,4,4,3,3,3,4,NA,The diagnostic map,Agree
126657,4,4,4,4,4,4,2,I was ill.,How to develop my understanding of quantity and how to recognize student understanding of math and how to support the child depending on the phase of development they are at.,Agree
126675,4,4,4,4,4,4,3,"helps determine next steps for instruction, where and how to lead the student towards new learning","Creating a mathematical community of thinkers. Flexible thinking, through number/math talks, open-ended questions.",Neither Agree or Disagree
126693,4,4,4,3,4,4,4,Purposeful planning and honouring where students are and where they need to go.,Use of manipulatives and resources to further my understanding of quantity relationships and address student misconceptions.,Agree
126712,4,5 - Significantly,5 - Significantly,4,4,3,2,Needs further consideration on my part.,Continuum of developing an understanding of quantity.,Strongly Agree
126730,4,4,5 - Significantly,5 - A Great Deal,4,4,4,NA,I have enjoyed the math content and collaboration with other teachers.,Agree
126749,3,3,2,4,3,3,3,Understanding the continuum of learning and understanding deepened my understanding of my intention when teaching.,"Reflecting and moving forward with the use of the tasks presented today. I can see how I can manipulate them to meet my students and extend them. For example, the pentominos activity.",Agree
126767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126785,4,4,4,4,3,3,4,"The ideas that cardinality - being able to count a set, does not automatically lead to the idea of number of items or quantity!",I love being able to share ideas and strategies with teachers from other schools.,Agree
126804,2,4,4,3,3,2,3,"allowed me to think outside of the box when observing my students. that there isnt always a ""right or wrong"" answer, but rather the processes involved in students' thinking is the most important here.","the resources provided, the comfort in knowing I can take the risk as a teacher to move backwards on the continuum in order to move forward with my students.",Agree
126822,4,4,4,3,3,3,3,NA,NA,Disagree
126841,4,4,4,4,4,4,4,so good to see it in a continuum.,the manipulatives,Strongly Agree
126859,3,3,3,3,2,2,4,NA,NA,Agree
126877,4,3,3,4,4,3,3,NA,NA,Neither Agree or Disagree
126896,3,3,3,3,3,3,3,I don't get it,Collaboration,Neither Agree or Disagree
126914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126933,4,4,4,3,3,3,3,NA,use of number talks and challenging students to try different strategies to solve problems,Neither Agree or Disagree
126951,3,4,5 - Significantly,3,4,4,5 - A Great Deal,N/A,Subitizing is the area that has been a focus of mine. I have noticed that students struggle with identifying numbers on sight.,Neither Agree or Disagree
126969,2,3,3,3,3,3,2,NA,Networking and sharing with other teachers in similar and different school environments.,Neither Agree or Disagree
126988,3,4,4,4,4,4,4,NA,NA,Agree
127006,4,4,4,4,4,4,4,Knowing where they are helps to move them to the next step and knowing what that next step is,Books and resources,Agree
127025,4,4,5 - Significantly,NA,NA,NA,3,I was more equipped to notice and name the learning....understandings/misconceptions.,Leaving with a stronger sense of key understandings and tasks that support these concepts.,Agree
127043,5 - Significantly,4,4,4,4,3,4,It allowed me to identify and label what they were doing and how to connect it to math concepts in the curriculum. Then it aids in next steps.,The bookmark to summarize mathematical concepts. Loved the poster of key understandings of the concept of quantify.,Agree
127061,5 - Significantly,5 - Significantly,5 - Significantly,4,4,4,4,You need to understand where students are and what they know in order to teach them an move their learning forward.,Exposure to other classrooms and other children to talk about the learning and experiance another perspective first hand. hands on activities are more engaging and authentic.,Strongly Agree
127080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127098,3,4,4,4,4,3,3,NA,Being able to collaborate with colleagues and share information and activities.,Agree
127117,4,5 - Significantly,5 - Significantly,4,3,3,4,Unsure still.,Noticing and naming the learning.,Agree
127135,3,3,3,3,3,2,NA,NA,NA,Neither Agree or Disagree
127153,5 - Significantly,5 - Significantly,5 - Significantly,3,4,4,3,NA,Breaking down number sense and activities that match each area,Strongly Agree
127172,1 - Not at All,1 - Not at All,2,3,3,3,1 - None,no idea?,sorry,Disagree
127190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127209,1 - Not at All,1 - Not at All,1 - Not at All,4,4,4,4,NA,NA,Strongly Disagree
127227,3,3,4,3,3,3,3,NA,I am new to the field.The information has increased my confidence in teaching math to my students,Agree
127245,4,4,4,NA,NA,NA,4,Try to support the variety of thought processes and ways of learning with a variety of activities and prompts appropriate to the student.,"Focusing on 5 and 10 and counting on from 5, vs having to go back and count from 1.",Agree
127264,5 - Significantly,4,4,4,4,4,5 - A Great Deal,Developmental needs have a significant impact on student mathematical thinking in kindergarten.,Learned a great deal when a group of colleagues did a math activity with all my students providing significant information about their learning,Neither Agree or Disagree
127282,3,2,4,3,3,3,3,NA,"tasks, classroom partnering, school partnering, task sharing, in school training and time to discuss",Neither Agree or Disagree
127301,4,4,4,3,4,3,3,By having a better understanding of the development of quantity.,more manipulatives usage,Agree
127319,4,4,5 - Significantly,4,4,4,4,NA,Subitizing!!!,Agree
127337,2,2,4,4,3,1 - None,2,I don't even know what cognitive domains are,It is a nice chance to explore the curriculum document and interact with staff at your own school and others,Disagree
127356,2,2,2,4,5 - A Great Deal,5 - A Great Deal,3,Helps me remember to differentiate my teaching to suit the wide variety of students.,"Some of the practical ideas...using 10 frames, rek reks, number talks, open ended questions to get at student thinking.",Disagree
127374,4,4,4,4,4,4,4,using the continuum to plan for future learning and as diagnostic assessment,the bookmark with the quantity relationships on it.,Disagree
127393,NA,NA,NA,4,3,3,3,NA,Math activities to use in class.,Disagree
127411,2,2,2,NA,NA,NA,NA,NA,NA,Disagree
127429,3,3,3,4,3,3,3,NA,NA,Neither Agree or Disagree
127448,4,4,4,4,4,4,4,NA,I'll focus more on quantity early in the year.,Agree
127466,2,2,2,4,3,3,4,We need to understand cognitive domains so we can meet the students at their level of understanding and readiness,Networking with grade partners and sharing ideas that work,Disagree
127485,5 - Significantly,5 - Significantly,5 - Significantly,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,The framework of the skills is guiding every strand and every lesson we approach.,All of it.,Strongly Agree
127503,4,5 - Significantly,5 - Significantly,4,4,4,4,NA,The bookmark as a reference tool,Strongly Agree
127521,4,4,4,4,4,4,4,NA,Number talks,Agree
127540,4,3,3,3,3,3,3,I am able to place students on the continuum and decide what their next steps are for learning.,Subitizing strategies have come in handy teaching number sense to my kindergartens,Agree
127558,4,NA,4,3,3,3,4,NA,math learning labels (ie. cardinalit and subitizing),Agree
127577,3,3,3,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,NA,NA,Neither Agree or Disagree
127595,4,4,4,4,4,4,4,NA,NA,Agree
127613,3,3,4,3,2,2,3,NA,The activities and games examples,Neither Agree or Disagree
127632,3,3,4,4,3,2,1 - None,n/a,That there are so many different ways to represent thinking and we can keep moving student learning along a continuum. That and we have great resources in the school that we aren't using!,Agree
127650,5 - Significantly,5 - Significantly,5 - Significantly,4,4,3,NA,NA,Increasing my confidence in the subject matter,Strongly Agree
127669,3,4,5 - Significantly,4,4,3,NA,NA,All of the learning has just reinforced the importance of continually looking at your own practices and how you can change your teaching to meet the needs of your students.  Happy that we are focusing again o the importance of building a solid number sense foundation.,Agree
127687,4,5 - Significantly,5 - Significantly,5 - A Great Deal,4,4,NA,NA,focusing on misconceptions as the direction for instruction,Strongly Agree
127705,3,4,3,4,3,3,NA,NA,"The need to take way more time with Number Sense and Numeration than with the other strands. Also, seeing how Quantity Rel'ps connects to every other strand.",Neither Agree or Disagree
127724,4,3,5 - Significantly,4,4,4,NA,NA,#NAME?,Agree
127742,4,4,4,3,NA,3,1 - None,NA,The importance of kids being able to conceptualize their thinking using visual representations.,Agree
127761,5 - Significantly,5 - Significantly,5 - Significantly,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,NA,NA,all the wonderful resources and videos!,Strongly Agree
127779,5 - Significantly,4,5 - Significantly,4,3,4,3,NA,NA,Agree
127797,3,3,4,4,4,4,4,NA,NA,Strongly Agree
